Accident Level,Critical Risk,Description,es,hi,it,Id,ja,he,ga,de,fr
I,Manual Tools,"The operator was willing to manually displace the zinc sheet adhered to the aluminum cathode. At the moment when the blade was detached, the blade was released from the cathode, bending and grazing the collaborator's right hand, producing 2 small cuts at the knuckles of the fingers, the worker made use of his gloves. leather. The worker is transferred to the medical unit for first aid.","The operator was willing to manually move the zinc blade adhered to the aluminum cathode. By the time the sheet was separated, the leaf was released from the cathode, leaned down and pasting the right hand of the collaborator, producing 2 small cuts in the knuckles of the fingers, the worker made use of his gloves. leather. The worker is transferred to the medical unit for first aid.","The Zinc Sheet, who followed the operator aluminum cathode was ready to manually displace. At the moment when the blade was separated, the blade was released from cathode, grazing the right hand of the tilt and collaborator, producing 2 small cuts in the fingers, the worker used his gloves. Leather. The worker is transferred to the medical unit for first aid.","The operator was willing to manually move the zinc sheet joined to the aluminum cathode. At the time the blade was detached, the blade was released by the cathode, folding and grazing the right hand of the collaborator, producing 2 small cuts on the knuckle of fingers, the worker used his gloves. skin. The worker is transferred to the medical unit for first aid.","The operator is willing to move the zinc sheet manually which obeys the aluminum cathode. When the knife was released, the blade was released from the cathode, bending and grazing the collaborator's right hand, producing 2 small pieces in the finger knobs, workers used their gloves. skin. Workers are transferred to the medical unit for first aid.","Operators thought that the zinc sheet attached to the aluminum cathode may be manually replaced. At the moment the blade is peeled off, it was released from the blade from the blade, grazing the right hand of the collaborator, creating two small cuts with a finger knuckle, and the worker used his gloves. leather. Workers are transferred to medical institutions for first aid.","The operator was willing to remove the zinc sheet adhesion to the aluminum card. At the moment, when the blade was detached, the blade was released from the cathode, bending over the right hand of the operation, and produces 2 small cuts in the fingers, the employee made use of his glooes. skin. The employee is transferred to the medical unit for first help.","The operator was willing to manually displace the zinc sheet to displace the aluminum cathode. At the moment when the blade was detached, the blade from the catód, bending and grassland the cooperary, producing 2 small cutting at Knuckles of Mayor, the worker used his gloves. Leather. The worker is transferred to the Medical Unit for First Aid.","The operator was ready to move the zinc blade manually adhering to the aluminum cathode. At the moment in which the blade was detached, the blade was released from the cathode, bending and grazing the right hand of the collaborator, creating 2 small cuts on the ankles of the fingers, the worker uses his gloves. Leather. The worker is transferred to the medical unit for the first aid.","The operator was ready to manually move the zinc sheet adhered to the aluminum cathode. At present, when the blade was detached, the blade was released from the cathode, to comply and blur the right hand of the collaborator, producing 2 small cuts to the fingers joints, the worker used his gloves. leather. The worker is transferred to the medical unit for first aid."
I,Others,"At the end of lunch in an enabled place on the side of the winche control room. He gets up and after a short walk he slips and sits with the floor and making contact with the left knee and not taking importance in the rest of the guard, when the guard is finished, he goes to safety and communicates the fact, for which reason it is derived Natclar, for your attention.","At the end of lunch at a place enabled on the Winche control room side. He gets up and, after a short walk, slips and sits with the floor and making contact with his left knee and not taking importance in the rest of his guard, when the guard is finished, goes to safety and communicates the fact What is the reason why Natcle is derived, for his attention.","At the end of the lunch at a competent place in favor of Winche Control Panel. He arises and after a small walking distance he slips and sits with the floor and contacts with the left knee and does not take importance in the rest of the guards, when the guard ends Go for and communicates this fact, for which the reason it is Natclar derived for your attention.","At the end of lunch in a place enabled on the side of the Winche control room. It rises and after a short walk slips and sits with the floor and putting contact with the left knee and not taking importance in the rest of the guard, when the guard is over, it goes safely and communicates the fact, for which motivation is Natllar derivative, for your attention.","At the end of lunch in a place that is activated on the side of the Winche control room. He got up and after a short walk he slipped and sat with the floor and made contact with the left knee and not too important in the rest of the guard, when the guard was finished, he went to safety and communicated the facts, the reason was revealed Natclar, for your attention.","Winche Control Room At the end of lunch at a valid location on the side of the control room. He walked walking and walking and sitting and sitting and sitting with the floor, when the security guard is over, he goes safely, tells that fact, telling that fact, it is NATCLAR for your attention Reasons to originate from","At the end of the lunch place is turned on the side of the Winche control room. He stood up and after a short walk, he slips and sits with the floor and created a knee with the left knee and not impression in the rest of the guard, when the guard is over, he goes to safety and call the fact that it is a reason to be derived from NatClar, for your attention.","At the end of the lunch instead of enabled on the side of the Winche control room. It gets up and after short walking and sits with the floor and contact the left knee and not important in the rest of the guard, when the guard is finished, it goes to the safety and sends The fact, it goes on the fact that it is Natclar derived, to take care of you.","At the end of lunch at a capable place on the side of the winch control room. He stands up and after a short walk, he slips and sits after a short walk and sits with the floor and touches the contact with the left knee and does not take on the rest of the guard when the security guard is done, he goes to security and communicating The fact, for the reason why Natclar is derived, for your attention.","At the end of lunch in a location activated on the side of the Winche control room. It gets up and after a short walk, he slips and lies with the floor and in contact with the left knee and not taking importance in the rest of the guard, when the guard is over, he goes safely and Communicates the fact, for which reason it is derived NatClar, to your attention."
I,Others,"At the end of the rock break at the intersection of the ramp -1055 and the opening of the access to the ventilation chimney, the master loader identifies rocks on the mesh proceeding to unload them, at the end he decides to verify if there are still remains by positioning himself under the line of fire, at which time a fragment of rock falls - 5x4x3cm .; 180 gr - between the cocada mesh impacting between the lens and the helmet causing the injury.","At the end of the rupture of the rock at the intersection of the ramp -1055 and the opening of access to the ventilation fireplace, the master charger identifies the rocks in the mesh procedure to download them, at the end decides to verify if there is still positioning itself itself under the line of fire, at which a fragment of rock falls - 5x4x3cm.; 180 gr, between the cocada mesh, affecting between the lens and the helmet that causes the injury.","At the end of the rock brake at the crossroads of the ramp-1055 and the inauguration of reaching the ventilation fireplace, the master loader identifies the rocks on the trap, in the end decides to verify that still decides to verify the fire Under the line, it remains positive, a piece of rock fall - 5x4x3 cm; Due to injuries between lenses and helmets between 180 GR - cooked trap.","At the end of Rock rupture at the intersection of the rampa -1055 and the opening of the access to the ventilation fireplace, the main loader identifies the rocks on the shirt that proceed to discharge them, in the end he decides to check if there are still remains positioned under the Fire line, at that point a fragment of rock flums - 5x4x3cm.; 180 gr - between the impact of the cocada shirt between the lens and the helmet that causes the injury.","At the end of Rock Break at the Junction Ramp -1055 and opening access to the ventilation chimney, the master loader identified the stone on the mesh continued to reduce it, in the end he decided to verify whether there was still still by positioning himself below the fire line, at that time several rock fragments Down - 5x4x3cm; 180 gr - between the mesh Cocada has an impact between lenses and helmets that cause injury.","At the end of the rock-1055 intersection and the access to the ventilation chimney, the master loader is covered down and the rocks on the mesh are identified to determine that it is still verified. Remaining by positioning itself under the fire line, the rock fragment is falling at that time-5x4x3 cm. 180 GR-Between the Cocadamesh, which affects the lens and helmet.","At the end of the rock stop at the junction of the ramp-1055 and opening access to the chimney ventilation, the main loader identifies rocks on the continuation of the network to unload them, at the end it decides to verify if there is still still left by the fire line, and at the same time of rock falls - 5x4x3cm.; 180 G - between a cocada network that affects the lens and the helmet causes injury.","At the end of the rock ramp at the intersection of the ramp -1055 and the opening of access to the ventilation chimney, recognizes the master-loaders on the mesh to unload, at the end he decides whether it is still it remains by locating himself under the line of fire, and the time containing rock of rock - 5x4x3cm.; 180 GR - Between the cocada mesh that affect the lens and the helmet causing the injury.","At the end of the rock break at the crossroad of the ramp -1055 and the opening of access to the ventilation chimney, the master loader identifies rocks on the mains to unload it, in the end to decide that it confirms if there is still overpowering by positioned under the fire line, at what time a fragment of rocks - 5x4x3cm.; 180 g - between the Kokada network, which influences between the lens and the helmet, causes injury.","At the end of rock rupture at the intersection of the ramp -1055 and opening access to the ventilation chimney, the main loader identifies the rocks on the mesh procedure to unload them at the end , he decides to check if there is still one is positioned under the line of fire, at what time a fragment of rock falls - 5x4x3cm.; 180 gr - between the mesh of Cocadi having an impact between the lens and the helmet causing the injury."
I,Others,"The worker carried out his work at level 2940, stop 896; and placed metal mesh on the basket (SOIL HALF) of the Scissor the mesh falls and hits the back of his right hand.","The worker carried out his work at level 2940, stop 896; And he placed the metal mesh in the basket (half the floor) of the scissors, the mesh falls and hits the back of his right hand.","The worker did his work level on 2940, 896 stops; And the metal mesh placed on the scissor basket (soil half) falls and hits behind its right hand.","The worker carried out his work at level 2940, stop 896; And positioned the metal shirt on the basket (half of the ground) of the shirt scissors falls and hits the back of his right hand.","Workers do their work at the level of 2940, stop 896; And put the metal mesh on the basket (half earth) from the net scissors fall and hit the back of his right hand.","Workers executed his work at level 2940 and stopped 896. Then, a metal mesh was placed on the basket of the scissors (half of the soil).","The employee performed his work at 2940, detained 896; And placed a metal mesh on the basket (half ground) of the net numbers fall and hit the back of his right hand.","The worker did his work at level 2940, stop 896; And a metal mesh on the basket (half of the soil) the scissor drops the mesh and hits her right hand.","The worker led his work on stage 2940, stop 896; And put metal mesh on the basket (bottom half) of the scissors the grid falls and meets the back of his right hand.","The worker did his work at level 2940, stops 896; And placed metal mesh on the basket (half of the soil) of the scissors the mesh falls and strikes the back of its right hand."
II,Others,When using the griff wrench to unscrew the rod from the probe the key came to move by pressing the employee's finger against the probe.,"When the GRIFF key is used to unscrew the rod from the probe, the key came to move by pressing the employee's finger against the probe.","When using Griff Wrench to cancel the rod from the investigation, pressed the employee's finger against the key investigation.","When using the English key to unscrew the cane from the probe, the key came to move by pressing the employee's finger against the probe.","When using Wrench Griff to open the stick bar from the probe, the key comes to move by pressing the employee's finger against the probe.","When you loosen the rod from the probe using a glyph wrench, the key has now moved to move the finger of the employee to the probe.","When using acute screws to open the pole from the test, the key came to move by pressing the finger of the employee on the spacecraft.",Using the Griff key to dissect the rod from probe came the key to move by the employee's finger against the probe.,"When using the handle key to unscrew the rod from the probe, the key came by pushing the employee's finger against the probe.","When using the GRIFF key to unscrew the probe rod, the key came to move by pressing the employee's finger against the probe."
I,Others,"When the plant operator was semi-kneeling when lifting the lid or gate (15 kg) of the distributor box of the secondary mill No. 4 and No. 5, his right knee slips due to the presence of debris spilled on the platform or floor (Grating) - which gave him an extra effort in his left leg, generating a muscle contracture.","When the operator of the plant was semi-kneeling when lifting the lid or door (15 kg) of the secondary mill distribution box No. 4 and No. 5, his right knee slides due to the presence of debris spilled in The platform or floor (grid) - that gave an additional effort on its left leg, generating muscle contracture.","When the plant operator was semi-knee, then the secondary mill number 4 and the distributor box of number 5, raising the lid or gate (15 kilograms), due to the presence of debris on the stage or floor, their right knee slip (Greating) - Who gave him an extra effort in his left foot, produced a muscle contract.","When the system operator was semi-kneeling when lifting the lid or gate (15 kg) of the distributor of the distributor n. 4 and n. 5, his right knee slips due to the presence of spilled debris on the platform or floor (grater) - which gave him an extra effort in his left leg, generating a muscular contracture.","When a semi-kneel plant operator when lifting lid or gate (15 kg) from the Secondary factory distributor box No. 4 and No. 5, slip his right knee because of the presence of rubble which spilled on the platform or floor (grating) - which gave him extra efforts in his left leg, producing muscle contractures.","When lid of the secondary factory 4 and 5 distribution boxes or gate (15 kg), when the plant operator is half-folded, his right knee knee due to the existence of debris spilled on the platform and floor Slide down (lattice) -A he gave an extra effort to his left foot and created muscle contracture.","When the factory operator was half kneeling when lifting the lid or gate (15 kg) of the distributor box of secondary mill No. 4, No. 5, the right knee slide due to the presence of waste spilled on the platform or floor (drag) - which gave it Another effort in his left leg, creating a muscle contract.","When the plant operator was half-knee when the cover or gateway (15 kg) of the secondary mill distribution box is taken. 4 and no. 5, its right generation challenges due to the presence of debris to spill on the platform or on the floor (grating) - which gave him an extra effort in his left foot, which generates a muscle contract.","If the plant operator was half buttocks when lifting the lid or gate (15 kg) of the distribution box of secondary chairs No. 4 and No. 5, the right knee slips due to the presence of rubble on the platform or floor (grid) - which to him Additional effort gave in his left leg, causing a muscle contraction.","When the plant operator was semi-kneaded when lifting the cover or door (15 kg) from the distribution box of the secondary plant # 4 and N ° 5, its right knee slides due to The presence of debris spilled on the platform or the ground (toasting) - which gave it an extra effort in the left leg, generating a muscular contracture."
I,Others,"At level -1095 - Access 6 A2 - at times when the engineer trainee planamieto entered to verify the amount of split set placed by the Scissor 184 in the support - holding his notebook and pen in his left hand - while inspecting the roof of the work, he lost the balance when stepping on a rock holding the right hand on a rock on the floor causing the injury. The worker at the time of the accident wore gloves but did not use them because it made it difficult to take notes.","At the level -1095 - Access 6 A2: Sometimes, when the engineer apprentice, planned, he entered to verify the amount of stipt set made by the scissor 184 on the support, holding his notebook and pen in his left hand, while inspection The roof of work. He lost his balance when he stepped on a rock holding his right hand on a rock on the floor, causing the injury. The worker at the time of the accident wore gloves, but did not use them because it made it difficult to take notes.","On level -1095 - reach 6 A2 - sometimes when engineered trainee plameto entered to verify the amount of set divided by scissors 184 - holding your notebook and pen in your left hand - work roof While inspecting, he lost balance on taking steps on a rock when he was holding the right hand on a rock on the floor due to injury. At the time of the accident, the worker used to wear gloves but did not use them because it became difficult to take notes.","At level -1095 - Access 6 A2 - sometimes the internship of the plannamy engineer has entered to check the amount of set divided by the scissor 184 in the support - holding the notebook and the pen in his left hand - while inspects the roof Of the work, he lost his balance when he steps up on a rock holding his right hand on a rock on the floor causing the wound. The worker at the time of the accident wore the gloves but did not use them because he made it difficult to take notes.","At Level -1095 - Access 6 A2 - Sometimes when the Trainee Planamieto engineer enters to verify the number of Split sets placed by scissors 184 in support - Holding a notebook and pen in his left hand - while checking the roof of his work, he lost his balance while stepping on the stone holding The right hand on the rock on the floor causes an injury. Workers at the time of the accident were wearing gloves but did not use it because it made it difficult to take notes.","Level-1095-Access 6 A2-Access 6 A2-At the time of training of engineers, the screw of work is inspected when the scissor 184 enters the amount of split sets placed by the support scissors 184 While stepping on a rock with a right hand on the floor on the floor he loses its balance. Workers at the time of accident were wearing gloves, but they did not use them as it is difficult to take notes.",At levels -1095 - access 6 A2 - at times when the practical engineering planaeto came in to verify the amount of splitting set by 184 support scissors - holding the notebook and the pen in his left hand - while checking the work roof is lost when treading the right hand holding the right hand On a rock on the floor that causes injury. The worker at the time of accident wore gloves but did not use them because it did it difficult to take notes.,"At level -1095 - 6 A2 access - at times when the engineer entered the Plamieteo trained in to the size of the split series that put the 184 path in support - to hold his notebook and his pen in his left hand - and left hand - and Exploring the roof of the work, he lost the balance and stepping on a rock holding the right hand on a rock on the floor causing the injury. The worker spent gloves gloves but did not use it because it was difficult to take notes.","On Level -1095 - Access 6 A2 - at times in which the engineer apprenting planamieto entered to check the split set planned by the scissors 184 in support - keeps his notebook and his pen in the left hand - while the The roof of work was inspected, he lost his balance when he stepped onto a rock that held the right hand on a rock on the ground causing the injury. The worker at the time of the accident contributed gloves, but did not use it because it has made it difficult to take notes.","At level -1095 - Access 6 A2 - sometimes, when the planamieto trainee engineer has entered to check the fractionated amount placed by the scissors 184 under the support - holding his laptop and his pen in his left hand - all inspecting the roof of work. He lost the balance when walking on a rock holding the right hand on a rock on the floor causing the injury. The worker at the time of the accident carried gloves but did not use them because it made it difficult to take notes."
III,Others,"The worker Yaranga while working with barretilla in Stop 996, Level 3300. While unloading metal mesh, on the basket of an ampoloader with his operator Juan barretilla is embedded on safety boot, reacting immediately the worker removing the limb with force and managing to release the foot, but producing a wound on the right foot.","The Yaranga worker while working with Barretilla at the 996 stop, level 3300. While discharging the metal mesh, in the basket of an ampoule with its operator, Juan Barretilla is incorporated into the safety boot, reacting immediately to the worker who eliminates the Extremity and managing to release the foot, but producing a wound on the right foot.","Worker Yaranga Stop 996, working with Burewalila in Level 3300. While unloading the metal trap, your operator is embedded on the safety boot on an Empollar basket with Juan Barretila, immediately responds to the worker who is forced to release and release feet, but on the right foot Production of a wound.","The yaranga worker while working with barretilla in Stop 996, level 3300. During the drain of the wire mesh, on the basket of an ampoloeader with his operator Juan Barretilla is incorporated on the safety boot, reacting immediately the worker who removes the limb with The strength and relaunch foot, but producing a wound on the right foot.","Yaraka workers while working with Barretilla at Stop 996, Level 3300. While dismantling the metal mesh, in the ampoloader basket with the operator Juan Barretilla embedded in the safety boot, immediately reacted, workers remove the limbs and manage to release his legs, but produce a wound on the right leg.","Worker Yalanga stops stop 996 While working at level 3300. Foot, but the right foot causes a scratch.","The worker Yaranga while working with Barretilla in Stop 996, Level 3300. While discharging a metal network, on the basket of ampoloader with his Juan Barretilla operator is embedded on boot and safety, immediately respond to the worker removed the organ and managing the leg, but produce wound On the right foot.","The Yaranga worker and is working with Barretilla in stop 996, level 3300. and metal mesh unloading, the ampoloader basket with their operator Juan Barretilla is embedded at the beginning of safety, immediately responding to the removal of the worker from the A limb to force and manage to achieve the worker immediately leg, but produce a wound on the right foot.","The worker Yaranga during working with barretilla in the stop 996, the stage 3300. During unloading of metal meshing, the basket of an amploader with its operator Juan Barretilla is embedded on the safety boot to respond immediately to the worker who violently Removed and releasing the loosening foot, but creates a wound on the right foot.","The Yaranga worker while working with Strilla in 996, at Level 3300. All with unloading of metal mesh, on the basket of an ampoloader with his operator Juan Streilla is integrated with the safety boot, immediately reacting the worker. withdrawing the member and the management of force. foot, but producing a wound on the right foot."
V,Others,"Approximately 1:40 p.m. in circumstances that shotcrete was launched in the Nv. 1680 BP 255 of the OB2B, after finishing the launch of the first mixkret 113, the assistant of the alpha, Mr. Albertico asks the operator of the mixkret 113, Mr. Jhony to move the mixkret 116, so that access, finding in the cockpit of the mixkret the operator of the Launcher team, Mr. Danon asks him to come down. When the team started, he noticed that Mr. Danon (injured) was imprisoned between the team (height of the left rear rim) and the Hastial de la Labor.","Approximately 1:40 p.m. In circumstances that a scarce cleavage was launched in the NV. 1680 BP 255 of OB2B, after finishing the release of the first Mixkret 113, the Alpha Assistant, Mr. Albertito asks the operator the Mixkret 113, Mr. Jhony to move the Mixkret 116, for access, finding in The Cockpit of the Mixkret The operator of the launciator team, Mr. Danon asks him to leave. When the team began, he noticed that Mr. Danon (injured) was imprisoned between the team (height of the left rear edge) and the hastial of the work.","About 1:40 pm Under the circumstances, the shortcode was launched in Krite NV. After launching the 1680 BP 255 of OB 2B, the first mixer 113, Alpha's assistant, Mr. Albertico asked the operator of Mixaret 113, to move Mr. Zhin Mixkaret 116, so that the access, mixer of cockpit launcher team Operator, Mr. Danon asked them to come down. When the team started, he saw that Mr. Danon (injured) was captured between the team (height of left behind the rim) and hasty de la labor.","About 1:40 p.m. In circumstances that Shotcrete were launched in the NV. 1680 BP 255 of the OB2B, after completing the launch of the first Mixkret 113, the Alfa server, Mr. Albertic asks the Mixkret 113 operator, Mr. Jhony to move the Mixkret 116, so that access , research in the Mixkret cockpit The Launcher team operator, Mr. Danon asks him to go down. When the team began, he noticed that Mr. Danon (wounded) was imprisoned between the team (height of the left rear edge) and the Hastial de la labor.","About 1:40 P.M. In a state that shotcrete was launched at NV. 1680 BP 255 OB2B, after completing the first Mixkreta 113 launch, Alpha's assistant, Mr. Alberto asked the Mixkreta 113, TN operator. Jhony to move mixkreta 116, so access, the findings in the cockpit of the Mixkreta launcher team operator, Mr. Danon asked him to go down. When the team began, he noticed that Mr. Danon (injured) was imprisoned between the team (the height of the left back rim) and the Hastial de la workforce.","About 1:40 p. In the situation where the speech bubble was released at NV. OB2B's 1680 BP 255, after the release of Mixkett 113, Alpha Assistant, Albertico asks the Mixkret 113 operator, moving Mixkret 116, access, finding chicks Card Cockpit Route Team, Danon asks him to get off. When the team began, he noticed that Mr. Danon (injuries) was imprisoned between the team (height of the left rear rim) and the colorful della.","About 1:40 pm. Under the circumstances that parent was launched in NV. 1680 BP 255 of the OB2B, after finishing the launch of the first mixkret 113, the helper of the Alpha, Mr. Albertico asks the operator of Mixkret 113, Mr. Jhony move the Mixkret 116, so access, finding in Mixkart's pilot cell operator, Mr. Danon asks From him to go down. When the team began, he noticed that Mr. Danon (was injured) was imprisoned between the team (the height of the left rear language) and the hysterical work.","About 1:40 p.m. In circumstances that were launched in the NV. 1680 BP 255 of the OB2B, after completing the first Mixkret 113, the assistant of Alpha, Mr Albertico asks the operator of the 113 Mixkret, Mr Jhony to move the Mixkret 116, so that access, find in the Cockpit The Mixkret Operator Staff launcher, Mr Donon asks him to come down. When the team began, he noticed that Mr Donon (injured) was in jail between the staff (the height of the rear edge) and the Hosta of La work.","About 1:40 S.M. Under the circumstances that Shotcrete was started in the NV. 1680 BP 255 of the OB2B, after the start of the first mix collet 113, the assistant of the Alpha, Mr. Albertico, the operator of the mix collet 113, Mr. Jhony, asks to move the mix collet 116, so that access in the cockpit of the mix collet of the operator of the Launcher teams, Mr Danon, asks him to get down. When the team began, he noticed that Mr. Danon (injured) was locked up between the team (height of the left margin) and the Hastial de la work.","About 1:40 pm. In circumstances shotcrete was launched in the NV. 1680 BP 255 of the OB2B, after completing the launch of the first MixKret 113, the Alpha Assistant, Mr. Albertico asks the Mixet 113 operator, Mr. Jhony to move the Mixkret 116, so that Access, the search for Cockpit du Mixkret the launcher team operator, Mr. Danon asks him to go down. When the team started, he noticed that Mr. Danon (injured) was imprisoned between the team (height of the left rear rim) and the hastial of the work."
I,Others,The employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma.,"The employee was cleaning the pipe when he hit his right thumb against the flange, causing little trauma.",The employee was cleaning the pipe when he had tapped his right thumb against the flange.,The employee was emptying the tube when he capped his right thumb against the flange causing a small trauma.,The employee cleaned the pipe when he tapped his right thumb against the flange which caused a small trauma.,"When he taps the thumb of the right hand against the flange, employees clean up the pipe and cause small trauma.",The worker was cleaning the tube when he patted his right thumb against the ear causing a small trauma.,The employee was cleaning the pipe when it benefited from his right thumb against the flange causing little trauma.,"The employee put the pipe when he knocked his right thumbs against the flange, which caused little trauma.",The employee released the pipe when he typed his right inch against the flange causing small trauma.
I,Pressed,"When replacing the telescopic expansion joint of the HDPE pipe of the storm drainage pumping system, it reports that the piece involuntarily moved when it was positioned in the holder, pressing its finger against the holder, causing a wound 1 right chemo.","When replacing the telescopic expansion gasket of the HDPE pipe of the storm drain pumping system, reports that the piece was moving involuntarily when it was placed on the bracket, pressing its finger against the support, which caused a wound 1 right chemotherapy .","While replacing the addition of the telescopic expansion of the HDPE pipes of the Hurricane Drainage Pumping System, it reports that after being positioned in the holder, a wound 1 causes a wound 1 right corrosion. .","When replacing the telescopic expansion of the HDPE tube of the storm drain pumping system, it reports that the piece has moved unintentionally when it was positioned in the support, pressing its finger against the holder, causing a female on the right.","When changing the telescopic expansion connection from the HDPE pipe from the storm drainage pumping system, he reported that the part was secretly transferred when positioned in the stand, pressing his finger to the holder, causing the right movement 1.","If you want to replace the HDPE pipe of the storm drainage drainage system, it is reported to move unlikely when placed in the holder and pressing the holder to roll.","When replacing the telescopic expansion of the HDPE tube of a storm drainage system, it reports that a non-voluntary piece passed when it was located in the holder, pressing its finger against the holder, causing a wound 1 chemothermia to the right.","When to replace the telescopic expansion of the HDPE pipe of the storm drainage system, it reports that the piece is involuntarily transferred when it was located in the holder, pushing his finger against the holder, creating a wound 1 right chemo.","When replacing the telescopic expansion joint of the HDPE pipe of the Storm drainage pump system reported that the piece is moved involuntarily when positioned in the holder, the finger being pressed against the holder, causing a wound 1 of the right chemo will.","When replacing the telescopic dilatation articulation of the HDPE hppe pipe pumping system, it indicates that the unintentionally moved part when it was positioned in the support, pressing its finger against the support, causing a chemio. Right 1 right."
I,Others,"During the withdrawal the Kelly bar (conductive bar of 45 Kg, 1.5 m of length and 10 cm of diameter) of the equipment of perforation on the part of two workers, one of them is positioned in the low part to tie the bar and the injured one is position in the upper part to hold the bar, when positioning the bar on the platform they lose control of the bar moving 5 cm with the 2nd finger of the right hand against the pulleys of the frame. At the time of the accident, the worker was wearing safety gloves and the drill rig was blocked.","During the removal, the Kelly bar (45 kg conductive bar, 1.5 m long and 10 cm in diameter) of the drilling equipment by two workers, one of them is placed on the bottom to tie the bar And the wound is a position at the top to hold the bar, when placing the bar on the platform, it loses the control of the bar that moves 5 cm with the second finger of the right hand against the pulleys of the frame. At the time of the accident, the worker was wearing safety gloves and the drilling platform was blocked.","During the return, Kelly Bar (45 kg conductive strip, 1.5 meter length and 10 cm diameter) is located in the short part to bind them once, and the injured person position to catch the bar in the upper part In the event of the time on the platform, they lose control of the bar of 5 cm with 5 cm with the second finger of the right hand against the hole of the frame. At the time of the accident, the worker was wearing safety gloves and the drill rig was blocked.","During collection the Kelly bar (45 kg conductive bar, 1.5 m long and 10 cm in diameter) of the perforation equipment by two workers, one of these is positioned in the lower part to tie the bar e The wounded a position at the top to hold the bar, when positioning the bar on the platform, lose control of the 5 cm moving bar with the 2nd finger of the right hand against the pulleys of the frame. At the time of the accident, the worker was wearing safety gloves and the drill was blocked.","During the withdrawal of the Kelly bar (45 kg conductive rod, 1.5 m long and a diameter of 10 cm) from the perforation equipment in the part of two workers, one of which is positioned in a low part to tie the bar and injury one is the position at the top to hold the bar, When positioning the bar on the platform they lost control of the bar moving 5 cm with the second 2-hand finger against the frame pulley. At the time of the accident, workers wore safety gloves and drill rigs were blocked.","During the withdrawal of the two workers' punch bar (45 kg, 1.5m, diameter, 10 cm in diameter, 10 cm in diameter), one of them is placed in a low part to connect with bars injured In order to secure the bar, at the top position to hold the bar, if the bar is fixed, the control of the 5 cm of the right hand moves 5 cm to the frame pulley loses the bar control. At the time of accident, workers were wearing safety gloves and drill rigs were blocked.","During the Bar Kelly withdrawal (Molley bar of 45 kg, length 1.5 m, and 10 cm of diameter) of the equipment of punching on the part of the two employees, one of them is located at the bottom to tie the bar and one injured is a position at the top hold The bar, when the bar location on the platform are losing control of the bar moving 5 cm with the second finger of the right hand against pulleys of the frame. At the time of accident, the employee was wearing safety gloves and the drilling facility was blocked.","During the withdrawal of the Kelly bar (45 kg address bar, 1.5 m of length and 10 cm diameter) of performation equipment on two workers, one of which is located in the low part to the bar and the one is hurt in the position in the Upper part to hold the bar, and the bar sitting on the scene they lose control of the bar moving 5 cm with the 2nd finger on the right hand against the frame pulleys. At the time of the accident, the worker had safety gloves and the drilling rig was blocked.","During the retreat of the Kelly Bar (conductive rod of 45 kg, 1.5 m length and 10 cm in diameter) of the perforation of perforation of two workers, one of them is positioned in the lower part to the rod and the injured If the position is in the upper part to hold the bar when positioning the rod on the platform, you lose the control of the rod, which moves 5 cm with the 2nd finger of the right hand against the pulleys of the frame. At the time of the accident, the worker carried safety gloves and the drill was blocked.","During removal, the Kelly bar (45 kg conductive bar, 1.5 m long and 10 cm in diameter) of the perforation equipment from two workers, one of them is positioned in The lower part to attach the bar and the injured one is position in the upper part to hold the bar, when positioning the bar on the platform, the control of the bar moved 5 cm with the 2nd finger of The right hand against the pulleys of the frame. At the time of the accident, the worker carried security gloves and the drilling platform was blocked."
